	SPU_peptide	diadema.best
OG0020552	SPU_013732	
OG0020553	SPU_013733	
OG0020554	SPU_013736	
OG0020555	SPU_013740	
OG0020556	SPU_013741	
OG0020557	SPU_013743	
OG0020558	SPU_013744	
OG0020559	SPU_013745	
OG0020560	SPU_013746	
OG0020561	SPU_013748	
OG0020562	SPU_013759	
OG0020563	SPU_013761	
OG0020564	SPU_013762	
OG0020565	SPU_013768	
OG0020566	SPU_013774	
OG0020567	SPU_013777	
OG0020568	SPU_013779	
OG0020569	SPU_013780	
OG0020570	SPU_013781	
OG0020571	SPU_013782	
OG0020572	SPU_013783	
OG0020573	SPU_013791	
OG0020574	SPU_013792	
OG0020575	SPU_013795	
OG0020576	SPU_013801	
OG0020577	SPU_013802	
OG0020578	SPU_013805	
OG0020579	SPU_013814	
OG0020580	SPU_013826	
OG0020581	SPU_013828	
OG0020582	SPU_013830	
OG0020583	SPU_013832	
OG0020584	SPU_013840	
OG0020585	SPU_013844	
OG0020586	SPU_013846	
OG0020587	SPU_013854	
OG0020588	SPU_013855	
OG0020589	SPU_013864	
OG0020590	SPU_013866	
OG0020591	SPU_013867	
OG0020592	SPU_013874	
OG0020593	SPU_013877	
OG0020594	SPU_013878	
OG0020595	SPU_013879	
OG0020596	SPU_013881	
OG0020597	SPU_013882	
OG0020598	SPU_013883	
OG0020599	SPU_013885	
OG0020600	SPU_013886	
OG0020601	SPU_013888	
OG0020602	SPU_013890	
OG0020603	SPU_013892	
OG0020604	SPU_013894	
OG0020605	SPU_013895	
OG0020606	SPU_013903	
OG0020607	SPU_013907	
OG0020608	SPU_013908	
OG0020609	SPU_013909	
OG0020610	SPU_013911	
OG0020611	SPU_013914	
OG0020612	SPU_013916	
OG0020613	SPU_013921	
OG0020614	SPU_013922	
OG0020615	SPU_013923	
OG0020616	SPU_013924	
OG0020617	SPU_013925	
OG0020618	SPU_013926	
OG0020619	SPU_013928	
OG0020620	SPU_013934	
OG0020621	SPU_013938	
OG0020622	SPU_013939	
OG0020623	SPU_013940	
OG0020624	SPU_013941	
OG0020625	SPU_013945	
OG0020626	SPU_013946	
OG0020627	SPU_013948	
OG0020628	SPU_013955	
OG0020629	SPU_013957	
OG0020630	SPU_013959	
OG0020631	SPU_013964	
OG0020632	SPU_013968	
OG0020633	SPU_013972	
OG0020634	SPU_013975	
OG0020635	SPU_013976	
OG0020636	SPU_013977	
OG0020637	SPU_013980	
OG0020638	SPU_013983	
OG0020639	SPU_013985	
OG0020640	SPU_013986	
OG0020641	SPU_013987	
OG0020642	SPU_013989	
OG0020643	SPU_013992	
OG0020644	SPU_013993	
OG0020645	SPU_013995	
OG0020646	SPU_013996	
OG0020647	SPU_013997	
OG0020648	SPU_013999	
OG0020649	SPU_014003	
OG0020650	SPU_014004	
OG0020651	SPU_014006	
OG0020652	SPU_014009	
OG0020653	SPU_014010	
OG0020654	SPU_014017	
OG0020655	SPU_014022	
OG0020656	SPU_014023	
OG0020657	SPU_014029	
OG0020658	SPU_014030	
OG0020659	SPU_014032	
OG0020660	SPU_014034	
OG0020661	SPU_014035	
OG0020662	SPU_014044	
OG0020663	SPU_014047	
OG0020664	SPU_014048	
OG0020665	SPU_014049	
OG0020666	SPU_014052	
OG0020667	SPU_014054	
OG0020668	SPU_014064	
OG0020669	SPU_014065	
OG0020670	SPU_014068	
OG0020671	SPU_014078	
OG0020672	SPU_014085	
OG0020673	SPU_014086	
OG0020674	SPU_014087	
OG0020675	SPU_014088	
OG0020676	SPU_014090	
OG0020677	SPU_014091	
OG0020678	SPU_014093	
OG0020679	SPU_014097	
OG0020680	SPU_014098	
OG0020681	SPU_014100	
OG0020682	SPU_014104	
OG0020683	SPU_014107	
OG0020684	SPU_014110	
OG0020685	SPU_014115	
OG0020686	SPU_014121	
OG0020687	SPU_014124	
OG0020688	SPU_014126	
OG0020689	SPU_014130	
OG0020690	SPU_014133	
OG0020691	SPU_014134	
OG0020692	SPU_014137	
OG0020693	SPU_014138	
OG0020694	SPU_014141	
OG0020695	SPU_014142	
OG0020696	SPU_014143	
OG0020697	SPU_014150	
OG0020698	SPU_014153	
OG0020699	SPU_014160	
OG0020700	SPU_014161	
OG0020701	SPU_014162	
OG0020702	SPU_014163	
OG0020703	SPU_014165	
OG0020704	SPU_014169	
OG0020705	SPU_014172	
OG0020706	SPU_014173	
OG0020707	SPU_014175	
OG0020708	SPU_014178	
OG0020709	SPU_014185	
OG0020710	SPU_014187	
OG0020711	SPU_014188	
OG0020712	SPU_014192	
OG0020713	SPU_014193	
OG0020714	SPU_014196	
OG0020715	SPU_014200	
OG0020716	SPU_014201	
OG0020717	SPU_014204	
OG0020718	SPU_014205	
OG0020719	SPU_014206	
OG0020720	SPU_014207	
OG0020721	SPU_014210	
OG0020722	SPU_014211	
OG0020723	SPU_014212	
OG0020724	SPU_014215	
OG0020725	SPU_014216	
OG0020726	SPU_014217	
OG0020727	SPU_014218	
OG0020728	SPU_014219	
OG0020729	SPU_014220	
OG0020730	SPU_014224	
OG0020731	SPU_014225	
OG0020732	SPU_014230	
OG0020733	SPU_014234	
OG0020734	SPU_014238	
OG0020735	SPU_014239	
OG0020736	SPU_014241	
OG0020737	SPU_014252	
OG0020738	SPU_014254	
OG0020739	SPU_014255	
OG0020740	SPU_014258	
OG0020741	SPU_014264	
OG0020742	SPU_014265	
OG0020743	SPU_014275	
OG0020744	SPU_014277	
OG0020745	SPU_014279	
OG0020746	SPU_014286	
OG0020747	SPU_014291	
OG0020748	SPU_014294	
OG0020749	SPU_014296	
OG0020750	SPU_014297	
OG0020751	SPU_014302	
OG0020752	SPU_014309	
OG0020753	SPU_014317	
OG0020754	SPU_014318	
OG0020755	SPU_014322	
OG0020756	SPU_014326	
OG0020757	SPU_014327	
OG0020758	SPU_014328	
OG0020759	SPU_014329	
OG0020760	SPU_014331	
OG0020761	SPU_014337	
OG0020762	SPU_014346	
OG0020763	SPU_014347	
OG0020764	SPU_014349	
OG0020765	SPU_014353	
OG0020766	SPU_014354	
OG0020767	SPU_014356	
OG0020768	SPU_014357	
OG0020769	SPU_014359	
OG0020770	SPU_014366	
OG0020771	SPU_014367	
OG0020772	SPU_014370	
OG0020773	SPU_014376	
OG0020774	SPU_014379	
OG0020775	SPU_014384	
OG0020776	SPU_014385	
OG0020777	SPU_014387	
OG0020778	SPU_014388	
OG0020779	SPU_014391	
OG0020780	SPU_014394	
OG0020781	SPU_014400	
OG0020782	SPU_014402	
OG0020783	SPU_014407	
OG0020784	SPU_014408	
OG0020785	SPU_014409	
OG0020786	SPU_014411	
OG0020787	SPU_014415	
OG0020788	SPU_014416	
OG0020789	SPU_014422	
OG0020790	SPU_014424	
OG0020791	SPU_014426	
OG0020792	SPU_014429	
OG0020793	SPU_014431	
OG0020794	SPU_014434	
OG0020795	SPU_014437	
OG0020796	SPU_014438	
OG0020797	SPU_014441	
OG0020798	SPU_014442	
OG0020799	SPU_014443	
OG0020800	SPU_014447	
OG0020801	SPU_014448	
OG0020802	SPU_014453	
OG0020803	SPU_014455	
OG0020804	SPU_014456	
OG0020805	SPU_014457	
OG0020806	SPU_014465	
OG0020807	SPU_014466	
OG0020808	SPU_014467	
OG0020809	SPU_014470	
OG0020810	SPU_014471	
OG0020811	SPU_014472	
OG0020812	SPU_014480	
OG0020813	SPU_014484	
OG0020814	SPU_014485	
OG0020815	SPU_014487	
OG0020816	SPU_014488	
OG0020817	SPU_014491	
OG0020818	SPU_014501	
OG0020819	SPU_014502	
OG0020820	SPU_014508	
OG0020821	SPU_014510	
OG0020822	SPU_014511	
OG0020823	SPU_014516	
OG0020824	SPU_014518	
OG0020825	SPU_014522	
OG0020826	SPU_014523	
OG0020827	SPU_014530	
OG0020828	SPU_014531	
OG0020829	SPU_014532	
OG0020830	SPU_014533	
OG0020831	SPU_014535	
OG0020832	SPU_014536	
OG0020833	SPU_014537	
OG0020834	SPU_014538	
OG0020835	SPU_014541	
OG0020836	SPU_014542	
OG0020837	SPU_014543	
OG0020838	SPU_014544	
OG0020839	SPU_014546	
OG0020840	SPU_014547	
OG0020841	SPU_014550	
OG0020842	SPU_014554	
OG0020843	SPU_014555	
OG0020844	SPU_014559	
OG0020845	SPU_014560	
OG0020846	SPU_014577	
OG0020847	SPU_014578	
OG0020848	SPU_014581	
OG0020849	SPU_014583	
OG0020850	SPU_014585	
OG0020851	SPU_014586	
OG0020852	SPU_014590	
OG0020853	SPU_014591	
OG0020854	SPU_014593	
OG0020855	SPU_014597	
OG0020856	SPU_014598	
OG0020857	SPU_014599	
OG0020858	SPU_014600	
OG0020859	SPU_014603	
OG0020860	SPU_014605	
OG0020861	SPU_014607	
OG0020862	SPU_014608	
OG0020863	SPU_014609	
OG0020864	SPU_014610	
OG0020865	SPU_014612	
OG0020866	SPU_014616	
OG0020867	SPU_014617	
OG0020868	SPU_014619	
OG0020869	SPU_014620	
OG0020870	SPU_014622	
OG0020871	SPU_014623	
OG0020872	SPU_014624	
OG0020873	SPU_014626	
OG0020874	SPU_014630	
OG0020875	SPU_014632	
OG0020876	SPU_014633	
OG0020877	SPU_014636	
OG0020878	SPU_014638	
OG0020879	SPU_014641	
OG0020880	SPU_014644	
OG0020881	SPU_014646	
OG0020882	SPU_014647	
OG0020883	SPU_014656	
OG0020884	SPU_014666	
OG0020885	SPU_014668	
OG0020886	SPU_014669	
OG0020887	SPU_014674	
OG0020888	SPU_014675	
OG0020889	SPU_014676	
OG0020890	SPU_014678	
OG0020891	SPU_014679	
OG0020892	SPU_014680	
OG0020893	SPU_014683	
OG0020894	SPU_014686	
OG0020895	SPU_014688	
OG0020896	SPU_014692	
OG0020897	SPU_014698	
OG0020898	SPU_014699	
OG0020899	SPU_014700	
OG0020900	SPU_014701	
OG0020901	SPU_014702	
OG0020902	SPU_014703	
OG0020903	SPU_014704	
OG0020904	SPU_014705	
OG0020905	SPU_014706	
OG0020906	SPU_014707	
OG0020907	SPU_014708	
OG0020908	SPU_014713	
OG0020909	SPU_014714	
OG0020910	SPU_014716	
OG0020911	SPU_014717	
OG0020912	SPU_014725	
OG0020913	SPU_014728	
OG0020914	SPU_014736	
OG0020915	SPU_014737	
OG0020916	SPU_014738	
OG0020917	SPU_014739	
OG0020918	SPU_014742	
OG0020919	SPU_014743	
OG0020920	SPU_014744	
OG0020921	SPU_014745	
OG0020922	SPU_014749	
OG0020923	SPU_014750	
OG0020924	SPU_014751	
OG0020925	SPU_014754	
OG0020926	SPU_014756	
OG0020927	SPU_014757	
OG0020928	SPU_014758	
OG0020929	SPU_014760	
OG0020930	SPU_014770	
OG0020931	SPU_014772	
OG0020932	SPU_014780	
OG0020933	SPU_014781	
OG0020934	SPU_014783	
OG0020935	SPU_014786	
OG0020936	SPU_014787	
OG0020937	SPU_014798	
OG0020938	SPU_014799	
OG0020939	SPU_014813	
OG0020940	SPU_014814	
OG0020941	SPU_014816	
OG0020942	SPU_014823	
OG0020943	SPU_014825	
OG0020944	SPU_014835	
OG0020945	SPU_014838	
OG0020946	SPU_014847	
OG0020947	SPU_014851	
OG0020948	SPU_014853	
OG0020949	SPU_014855	
OG0020950	SPU_014861	
OG0020951	SPU_014863	
OG0020952	SPU_014867	
OG0020953	SPU_014868	
OG0020954	SPU_014870	
OG0020955	SPU_014871	
OG0020956	SPU_014872	
OG0020957	SPU_014877	
OG0020958	SPU_014879	
OG0020959	SPU_014880	
OG0020960	SPU_014881	
OG0020961	SPU_014891	
OG0020962	SPU_014892	
OG0020963	SPU_014900	
OG0020964	SPU_014901	
OG0020965	SPU_014902	
OG0020966	SPU_014906	
OG0020967	SPU_014907	
OG0020968	SPU_014911	
OG0020969	SPU_014912	
OG0020970	SPU_014915	
OG0020971	SPU_014916	
OG0020972	SPU_014917	
OG0020973	SPU_014921	
OG0020974	SPU_014930	
OG0020975	SPU_014931	
OG0020976	SPU_014940	
OG0020977	SPU_014941	
OG0020978	SPU_014942	
OG0020979	SPU_014943	
OG0020980	SPU_014944	
OG0020981	SPU_014946	
OG0020982	SPU_014948	
OG0020983	SPU_014950	
OG0020984	SPU_014952	
OG0020985	SPU_014953	
OG0020986	SPU_014956	
OG0020987	SPU_014961	
OG0020988	SPU_014963	
OG0020989	SPU_014964	
OG0020990	SPU_014965	
OG0020991	SPU_014970	
OG0020992	SPU_014973	
OG0020993	SPU_014976	
OG0020994	SPU_014979	
OG0020995	SPU_014980	
OG0020996	SPU_014983	
OG0020997	SPU_014985	
OG0020998	SPU_014991	
OG0020999	SPU_014998	
OG0021000	SPU_014999	
OG0021001	SPU_015003	
OG0021002	SPU_015005	
OG0021003	SPU_015006	
OG0021004	SPU_015010	
OG0021005	SPU_015014	
OG0021006	SPU_015018	
OG0021007	SPU_015021	
OG0021008	SPU_015025	
OG0021009	SPU_015026	
OG0021010	SPU_015028	
OG0021011	SPU_015030	
OG0021012	SPU_015032	
OG0021013	SPU_015034	
OG0021014	SPU_015035	
OG0021015	SPU_015036	
OG0021016	SPU_015039	
OG0021017	SPU_015040	
OG0021018	SPU_015045	
OG0021019	SPU_015051	
OG0021020	SPU_015054	
OG0021021	SPU_015055	
OG0021022	SPU_015056	
OG0021023	SPU_015057	
OG0021024	SPU_015063	
OG0021025	SPU_015065	
OG0021026	SPU_015068	
OG0021027	SPU_015070	
OG0021028	SPU_015072	
OG0021029	SPU_015073	
OG0021030	SPU_015074	
OG0021031	SPU_015075	
OG0021032	SPU_015076	
OG0021033	SPU_015077	
OG0021034	SPU_015078	
OG0021035	SPU_015081	
OG0021036	SPU_015098	
OG0021037	SPU_015102	
OG0021038	SPU_015106	
OG0021039	SPU_015107	
OG0021040	SPU_015109	
OG0021041	SPU_015110	
OG0021042	SPU_015111	
OG0021043	SPU_015115	
OG0021044	SPU_015116	
OG0021045	SPU_015118	
OG0021046	SPU_015119	
OG0021047	SPU_015124	
OG0021048	SPU_015128	
OG0021049	SPU_015129	
OG0021050	SPU_015130	
OG0021051	SPU_015131	
OG0021052	SPU_015132	
OG0021053	SPU_015134	
OG0021054	SPU_015141	
OG0021055	SPU_015146	
OG0021056	SPU_015147	
OG0021057	SPU_015150	
OG0021058	SPU_015153	
OG0021059	SPU_015154	
OG0021060	SPU_015159	
OG0021061	SPU_015164	
OG0021062	SPU_015165	
OG0021063	SPU_015171	
OG0021064	SPU_015172	
OG0021065	SPU_015173	
OG0021066	SPU_015174	
OG0021067	SPU_015175	
OG0021068	SPU_015176	
OG0021069	SPU_015183	
OG0021070	SPU_015189	
OG0021071	SPU_015190	
OG0021072	SPU_015192	
OG0021073	SPU_015193	
OG0021074	SPU_015196	
OG0021075	SPU_015197	
OG0021076	SPU_015199	
OG0021077	SPU_015200	
OG0021078	SPU_015202	
OG0021079	SPU_015204	
OG0021080	SPU_015212	
OG0021081	SPU_015218	
OG0021082	SPU_015219	
OG0021083	SPU_015220	
OG0021084	SPU_015223	
OG0021085	SPU_015225	
OG0021086	SPU_015231	
OG0021087	SPU_015233	
OG0021088	SPU_015234	
OG0021089	SPU_015236	
OG0021090	SPU_015237	
OG0021091	SPU_015242	
OG0021092	SPU_015245	
OG0021093	SPU_015246	
OG0021094	SPU_015248	
OG0021095	SPU_015250	
OG0021096	SPU_015251	
OG0021097	SPU_015252	
OG0021098	SPU_015254	
OG0021099	SPU_015255	
OG0021100	SPU_015261	
OG0021101	SPU_015262	
OG0021102	SPU_015264	
OG0021103	SPU_015265	
OG0021104	SPU_015266	
OG0021105	SPU_015268	
OG0021106	SPU_015270	
OG0021107	SPU_015277	
OG0021108	SPU_015278	
OG0021109	SPU_015279	
OG0021110	SPU_015282	
OG0021111	SPU_015284	
OG0021112	SPU_015287	
OG0021113	SPU_015288	
OG0021114	SPU_015289	
OG0021115	SPU_015296	
OG0021116	SPU_015297	
OG0021117	SPU_015298	
OG0021118	SPU_015302	
OG0021119	SPU_015311	
OG0021120	SPU_015313	
OG0021121	SPU_015316	
OG0021122	SPU_015326	
OG0021123	SPU_015330	
OG0021124	SPU_015332	
OG0021125	SPU_015334	
OG0021126	SPU_015336	
OG0021127	SPU_015339	
OG0021128	SPU_015345	
OG0021129	SPU_015347	
OG0021130	SPU_015353	
OG0021131	SPU_015357	
OG0021132	SPU_015368	
OG0021133	SPU_015382	
OG0021134	SPU_015383	
OG0021135	SPU_015384	
OG0021136	SPU_015388	
OG0021137	SPU_015390	
OG0021138	SPU_015393	
OG0021139	SPU_015394	
OG0021140	SPU_015397	
OG0021141	SPU_015401	
OG0021142	SPU_015402	
OG0021143	SPU_015406	
OG0021144	SPU_015409	
OG0021145	SPU_015410	
OG0021146	SPU_015413	
OG0021147	SPU_015426	
OG0021148	SPU_015427	
OG0021149	SPU_015428	
OG0021150	SPU_015430	
OG0021151	SPU_015439	
OG0021152	SPU_015440	
OG0021153	SPU_015444	
OG0021154	SPU_015447	
OG0021155	SPU_015458	
OG0021156	SPU_015462	
OG0021157	SPU_015471	
OG0021158	SPU_015474	
OG0021159	SPU_015475	
OG0021160	SPU_015477	
OG0021161	SPU_015490	
OG0021162	SPU_015493	
OG0021163	SPU_015496	
OG0021164	SPU_015501	
OG0021165	SPU_015502	
OG0021166	SPU_015509	
OG0021167	SPU_015510	
OG0021168	SPU_015512	
OG0021169	SPU_015513	
OG0021170	SPU_015516	
OG0021171	SPU_015517	
OG0021172	SPU_015519	
OG0021173	SPU_015520	
OG0021174	SPU_015521	
OG0021175	SPU_015524	
OG0021176	SPU_015525	
OG0021177	SPU_015527	
OG0021178	SPU_015528	
OG0021179	SPU_015532	
OG0021180	SPU_015536	
OG0021181	SPU_015543	
OG0021182	SPU_015546	
OG0021183	SPU_015547	
OG0021184	SPU_015552	
OG0021185	SPU_015554	
OG0021186	SPU_015555	
OG0021187	SPU_015557	
OG0021188	SPU_015558	
OG0021189	SPU_015559	
OG0021190	SPU_015560	
OG0021191	SPU_015561	
OG0021192	SPU_015563	
OG0021193	SPU_015564	
OG0021194	SPU_015566	
OG0021195	SPU_015567	
OG0021196	SPU_015569	
OG0021197	SPU_015570	
OG0021198	SPU_015572	
OG0021199	SPU_015578	
OG0021200	SPU_015579	
OG0021201	SPU_015588	
OG0021202	SPU_015589	
OG0021203	SPU_015590	
OG0021204	SPU_015591	
OG0021205	SPU_015597	
OG0021206	SPU_015606	
OG0021207	SPU_015608	
OG0021208	SPU_015610	
OG0021209	SPU_015611	
OG0021210	SPU_015616	
OG0021211	SPU_015620	
OG0021212	SPU_015624	
OG0021213	SPU_015626	
OG0021214	SPU_015630	
OG0021215	SPU_015632	
OG0021216	SPU_015634	
OG0021217	SPU_015637	
OG0021218	SPU_015641	
OG0021219	SPU_015646	
OG0021220	SPU_015649	
OG0021221	SPU_015651	
OG0021222	SPU_015656	
OG0021223	SPU_015657	
OG0021224	SPU_015658	
OG0021225	SPU_015659	
OG0021226	SPU_015660	
OG0021227	SPU_015661	
OG0021228	SPU_015665	
OG0021229	SPU_015673	
OG0021230	SPU_015679	
OG0021231	SPU_015680	
OG0021232	SPU_015681	
OG0021233	SPU_015684	
OG0021234	SPU_015689	
OG0021235	SPU_015690	
OG0021236	SPU_015693	
OG0021237	SPU_015695	
OG0021238	SPU_015696	
OG0021239	SPU_015703	
OG0021240	SPU_015704	
OG0021241	SPU_015707	
OG0021242	SPU_015710	
OG0021243	SPU_015717	
OG0021244	SPU_015718	
OG0021245	SPU_015725	
OG0021246	SPU_015726	
OG0021247	SPU_015727	
OG0021248	SPU_015728	
OG0021249	SPU_015730	
OG0021250	SPU_015732	
OG0021251	SPU_015733	
OG0021252	SPU_015739	
OG0021253	SPU_015741	
OG0021254	SPU_015747	
OG0021255	SPU_015748	
OG0021256	SPU_015752	
OG0021257	SPU_015753	
OG0021258	SPU_015755	
OG0021259	SPU_015756	
OG0021260	SPU_015757	
OG0021261	SPU_015758	
OG0021262	SPU_015760	
OG0021263	SPU_015762	
OG0021264	SPU_015764	
OG0021265	SPU_015766	
OG0021266	SPU_015775	
OG0021267	SPU_015777	
OG0021268	SPU_015778	
OG0021269	SPU_015779	
OG0021270	SPU_015780	
OG0021271	SPU_015783	
OG0021272	SPU_015786	
OG0021273	SPU_015788	
OG0021274	SPU_015789	
OG0021275	SPU_015791	
OG0021276	SPU_015792	
OG0021277	SPU_015799	
OG0021278	SPU_015801	
OG0021279	SPU_015805	
OG0021280	SPU_015806	
OG0021281	SPU_015808	
OG0021282	SPU_015810	
OG0021283	SPU_015812	
OG0021284	SPU_015813	
OG0021285	SPU_015816	
OG0021286	SPU_015817	
OG0021287	SPU_015821	
OG0021288	SPU_015822	
OG0021289	SPU_015824	
OG0021290	SPU_015830	
OG0021291	SPU_015831	
OG0021292	SPU_015835	
OG0021293	SPU_015839	
OG0021294	SPU_015840	
OG0021295	SPU_015841	
OG0021296	SPU_015845	
OG0021297	SPU_015852	
OG0021298	SPU_015854	
OG0021299	SPU_015857	
OG0021300	SPU_015859	
OG0021301	SPU_015860	
OG0021302	SPU_015861	
OG0021303	SPU_015865	
OG0021304	SPU_015866	
OG0021305	SPU_015868	
OG0021306	SPU_015871	
OG0021307	SPU_015874	
OG0021308	SPU_015875	
OG0021309	SPU_015876	
OG0021310	SPU_015883	
OG0021311	SPU_015888	
OG0021312	SPU_015892	
OG0021313	SPU_015893	
OG0021314	SPU_015895	
OG0021315	SPU_015896	
OG0021316	SPU_015898	
OG0021317	SPU_015900	
OG0021318	SPU_015904	
OG0021319	SPU_015905	
OG0021320	SPU_015907	
OG0021321	SPU_015910	
OG0021322	SPU_015912	
OG0021323	SPU_015925	
OG0021324	SPU_015926	
OG0021325	SPU_015933	
OG0021326	SPU_015934	
OG0021327	SPU_015937	
OG0021328	SPU_015940	
OG0021329	SPU_015942	
OG0021330	SPU_015944	
OG0021331	SPU_015947	
OG0021332	SPU_015948	
OG0021333	SPU_015951	
OG0021334	SPU_015958	
OG0021335	SPU_015960	
OG0021336	SPU_015961	
OG0021337	SPU_015962	
OG0021338	SPU_015967	
OG0021339	SPU_015979	
OG0021340	SPU_015980	
OG0021341	SPU_015990	
OG0021342	SPU_015994	
OG0021343	SPU_015995	
OG0021344	SPU_015998	
OG0021345	SPU_015999	
OG0021346	SPU_016000	
OG0021347	SPU_016001	
OG0021348	SPU_016002	
OG0021349	SPU_016003	
OG0021350	SPU_016005	
OG0021351	SPU_016007	
OG0021352	SPU_016012	
OG0021353	SPU_016015	
OG0021354	SPU_016019	
OG0021355	SPU_016023	
OG0021356	SPU_016026	
OG0021357	SPU_016029	
OG0021358	SPU_016036	
OG0021359	SPU_016041	
OG0021360	SPU_016044	
OG0021361	SPU_016046	
OG0021362	SPU_016047	
OG0021363	SPU_016054	
OG0021364	SPU_016057	
OG0021365	SPU_016059	
OG0021366	SPU_016063	
OG0021367	SPU_016068	
OG0021368	SPU_016072	
OG0021369	SPU_016073	
OG0021370	SPU_016075	
OG0021371	SPU_016080	
OG0021372	SPU_016084	
OG0021373	SPU_016092	
OG0021374	SPU_016093	
OG0021375	SPU_016094	
OG0021376	SPU_016098	
OG0021377	SPU_016099	
OG0021378	SPU_016102	
OG0021379	SPU_016104	
OG0021380	SPU_016109	
OG0021381	SPU_016112	
OG0021382	SPU_016116	
OG0021383	SPU_016117	
OG0021384	SPU_016118	
OG0021385	SPU_016119	
OG0021386	SPU_016124	
OG0021387	SPU_016127	
OG0021388	SPU_016129	
OG0021389	SPU_016131	
OG0021390	SPU_016132	
OG0021391	SPU_016133	
OG0021392	SPU_016134	
OG0021393	SPU_016135	
OG0021394	SPU_016146	
OG0021395	SPU_016148	
OG0021396	SPU_016153	
OG0021397	SPU_016154	
OG0021398	SPU_016155	
OG0021399	SPU_016159	
OG0021400	SPU_016161	
OG0021401	SPU_016162	
OG0021402	SPU_016175	
OG0021403	SPU_016180	
OG0021404	SPU_016182	
OG0021405	SPU_016183	
OG0021406	SPU_016185	
OG0021407	SPU_016187	
OG0021408	SPU_016189	
OG0021409	SPU_016191	
OG0021410	SPU_016192	
OG0021411	SPU_016197	
OG0021412	SPU_016199	
OG0021413	SPU_016202	
OG0021414	SPU_016203	
OG0021415	SPU_016204	
OG0021416	SPU_016211	
OG0021417	SPU_016215	
OG0021418	SPU_016218	
OG0021419	SPU_016220	
OG0021420	SPU_016225	
OG0021421	SPU_016229	
OG0021422	SPU_016231	
OG0021423	SPU_016232	
OG0021424	SPU_016233	
OG0021425	SPU_016235	
OG0021426	SPU_016236	
OG0021427	SPU_016237	
OG0021428	SPU_016238	
OG0021429	SPU_016240	
OG0021430	SPU_016242	
OG0021431	SPU_016243	
OG0021432	SPU_016244	
OG0021433	SPU_016248	
OG0021434	SPU_016252	
OG0021435	SPU_016253	
OG0021436	SPU_016254	
OG0021437	SPU_016255	
OG0021438	SPU_016260	
OG0021439	SPU_016261	
OG0021440	SPU_016262	
OG0021441	SPU_016263	
OG0021442	SPU_016268	
OG0021443	SPU_016269	
OG0021444	SPU_016270	
OG0021445	SPU_016274	
OG0021446	SPU_016275	
OG0021447	SPU_016276	
OG0021448	SPU_016279	
OG0021449	SPU_016281	
OG0021450	SPU_016286	
OG0021451	SPU_016292	
OG0021452	SPU_016295	
OG0021453	SPU_016303	
OG0021454	SPU_016304	
OG0021455	SPU_016309	
OG0021456	SPU_016313	
OG0021457	SPU_016315	
OG0021458	SPU_016316	
OG0021459	SPU_016317	
OG0021460	SPU_016319	
OG0021461	SPU_016320	
OG0021462	SPU_016322	
OG0021463	SPU_016323	
OG0021464	SPU_016329	
OG0021465	SPU_016332	
OG0021466	SPU_016336	
OG0021467	SPU_016342	
OG0021468	SPU_016346	
OG0021469	SPU_016348	
OG0021470	SPU_016349	
OG0021471	SPU_016353	
OG0021472	SPU_016356	
OG0021473	SPU_016357	
OG0021474	SPU_016358	
OG0021475	SPU_016360	
OG0021476	SPU_016364	
OG0021477	SPU_016365	
OG0021478	SPU_016366	
OG0021479	SPU_016367	
OG0021480	SPU_016369	
OG0021481	SPU_016372	
OG0021482	SPU_016376	
OG0021483	SPU_016380	
OG0021484	SPU_016387	
OG0021485	SPU_016391	
OG0021486	SPU_016392	
OG0021487	SPU_016394	
OG0021488	SPU_016398	
OG0021489	SPU_016402	
OG0021490	SPU_016405	
OG0021491	SPU_016416	
OG0021492	SPU_016417	
OG0021493	SPU_016419	
OG0021494	SPU_016420	
OG0021495	SPU_016424	
OG0021496	SPU_016425	
OG0021497	SPU_016427	
OG0021498	SPU_016428	
OG0021499	SPU_016431	
OG0021500	SPU_016433	
OG0021501	SPU_016434	
OG0021502	SPU_016435	
OG0021503	SPU_016437	
OG0021504	SPU_016440	
OG0021505	SPU_016444	
OG0021506	SPU_016448	
OG0021507	SPU_016450	
OG0021508	SPU_016452	
OG0021509	SPU_016453	
OG0021510	SPU_016454	
OG0021511	SPU_016458	
OG0021512	SPU_016463	
OG0021513	SPU_016464	
OG0021514	SPU_016465	
OG0021515	SPU_016466	
OG0021516	SPU_016470	
OG0021517	SPU_016471	
OG0021518	SPU_016475	
OG0021519	SPU_016476	
OG0021520	SPU_016477	
OG0021521	SPU_016479	
OG0021522	SPU_016489	
OG0021523	SPU_016491	
OG0021524	SPU_016495	
OG0021525	SPU_016496	
OG0021526	SPU_016498	
OG0021527	SPU_016502	
OG0021528	SPU_016503	
OG0021529	SPU_016507	
OG0021530	SPU_016510	
OG0021531	SPU_016512	
OG0021532	SPU_016515	
OG0021533	SPU_016516	
OG0021534	SPU_016517	
OG0021535	SPU_016519	
OG0021536	SPU_016521	
OG0021537	SPU_016522	
OG0021538	SPU_016526	
OG0021539	SPU_016529	
OG0021540	SPU_016534	
OG0021541	SPU_016541	
OG0021542	SPU_016543	
OG0021543	SPU_016545	
OG0021544	SPU_016549	
OG0021545	SPU_016550	
OG0021546	SPU_016551	
OG0021547	SPU_016557	
OG0021548	SPU_016560	
OG0021549	SPU_016561	
